  PERMNO        date           msft        vwretd        ewretd        sprtrn
   10107    20020924       0.009949     -0.015074     -0.011324     -0.017284
   10107    20020925       0.018170      0.023955      0.015988      0.024863
   10107    20020926      -0.006665      0.017223      0.007838      0.018210
   10107    20020927      -0.020563     -0.028401     -0.014741     -0.032259
   10107    20020930      -0.033370     -0.012032     -0.003513     -0.014600
   10107    20021001       0.056927      0.033730      0.008315      0.040010
   10107    20021002      -0.013411     -0.022599     -0.011971     -0.023587
   10107    20021003      -0.019733     -0.011205     -0.006104     -0.010822
   10107    20021004      -0.021024     -0.022214     -0.016284     -0.022431
   10107    20021007       0.006397     -0.020359     -0.021464     -0.019111
   10107    20021008       0.021339      0.014051     -0.002010      0.016898
   10107    20021009      -0.022227     -0.027466     -0.024272     -0.027287
   10107    20021010       0.054331      0.033869      0.015295      0.034966
   10107    20021011       0.053687      0.036799      0.025612      0.039059
   10107    20021014       0.008594      0.006554      0.003361      0.007327
   10107    20021015       0.060864      0.045152      0.031362      0.047336
   10107    20021016      -0.035953     -0.023027     -0.011603     -0.024113
   10107    20021017       0.007161      0.023708      0.025593      0.022302
   10107    20021018       0.046857      0.004823      0.002479      0.005903
   10107    20021021      -0.012041      0.016405      0.010109      0.017334
   10107    20021022      -0.015997     -0.011258     -0.005768     -0.010626
   10107    20021023       0.029611      0.007436      0.012537      0.006718
   10107    20021024      -0.037030     -0.013228      0.001435     -0.015221
   10107    20021025       0.028304      0.016323      0.013771      0.017167
   10107    20021028      -0.013857     -0.007502      0.000284     -0.008266
   10107    20021029       0.002310     -0.009314     -0.004004     -0.009076
   10107    20021030       0.019973      0.010541      0.012305      0.009704
   10107    20021031       0.006778     -0.003733      0.005764     -0.005557
   10107    20021101      -0.008790      0.017048      0.017765      0.017160
   10107    20021104       0.058491      0.008633      0.014831      0.008191
   10107    20021105       0.010339      0.006160      0.002024      0.007761
   10107    20021106       0.006175      0.009802      0.015740      0.009144
