 DATE        PS_LEVEL        PS_INNOV          PS_VWF
19910731    -0.001286557     0.005157236     0.016337539
19910830    -0.016937894    -0.018415096    -0.016850326
19910930    -0.014476074     0.018481751     0.008629862
19911031    -0.019230826     0.021995931     0.019709287
19911129     0.027519208    -0.001093914     0.043711976
19911231    -0.053449023    -0.072279376    -0.047669812
19920131    -0.061425156    -0.035475474    -0.075784777
19920228    -0.039232388     0.011515941    -0.045745348
19920331    -0.038446768     0.018410595    -0.001307503
19920430     0.034613378     0.047972056    -0.004842522
19920529     0.001332154     0.052961839    -0.002338965
19920630      0.06708421     0.010060596     0.018128151
19920731    -0.037047206    -0.048685973     0.024990333
19920831    -0.004850838     0.007075158     0.049691933
19920930     0.012378035     0.033674338    -0.021590501
19921030    -0.059856137    -0.053490898    -0.018761888
19921130     0.001799606     0.035724457    -0.053319412
19921231     0.008335823     0.023044173    -0.027755889
19930129     0.004793756     0.035990455     0.002231555
19930226    -0.025149349    -0.000390723     0.071160785
19930331    -0.037351563    -0.007987274    -0.024666759
19930430     0.003013333     0.033204979     -0.01648798
19930528    -0.014525489     0.015438707     0.042099986
19930630    -0.018419991     0.012043315    -0.023109952
19930730    -0.018657929     0.007682867    -0.010058215
19930831     0.040883184     0.024822042     0.023149207
19930930     0.025076743     0.033712464    -0.074210062
19931029     0.004300488     0.013994992     0.040338968
19931130     0.015118459      0.02899932     0.045241648
19931231     0.049952542     0.031533691     0.007926338
19940131     0.038801443     0.070712339     0.000796625
19940228      -0.0510396    -0.037355624     0.013685742
19940331     -0.01537955    -0.007528483     0.029861778
19940429    -0.074834533    -0.050434458     0.005672995
19940531    -0.039017867     0.000521591     0.037436468
19940630    -0.078480108    -0.033569676     0.000646169
19940729      0.01187593     0.063894302    -0.010430232
19940831    -0.017373587     0.036107482     0.004915969
19940930      0.02063491     0.017130663     0.032971687
19941031     0.030068673     0.034664929     0.009489096
19941130    -0.014579924    -0.043555208     -0.02054014
19941230    -0.029581709    -0.006693127     0.014423444
19950131     0.022103692     0.065457467     -0.03312464
19950228     0.023434808     0.025451307     -0.00654361
19950331     0.009981359    -0.010425748     0.015677025
19950428     0.031559674     0.052883629     0.012861652
19950531    -0.002283063     0.005258192    -0.005838499
19950630    -0.026107394    -0.030988266     0.007562332
19950731     -0.00698546     0.014177627     0.051136669
19950831    -0.003340614     0.020318646    -0.009205476
19950929    -0.027817991    -0.022140838    -0.076328647
19951031    -0.004928347     0.010898302     0.029354743
19951130     0.031899101     0.062495922    -0.021928347
19951229    -0.063118465    -0.026417014    -0.035217317
19960131    -0.015917585    -0.005147562     0.068303622
19960229     0.024217896     0.076090646     0.040827681
19960329    -0.052205155    -0.044127806    -0.041256056
19960430    -0.024346542     0.019907458    -0.048539572
19960531     0.008760001     0.019623546    -0.021148993
19960628    -0.013614175    -0.009048063    -0.053235092
19960731    -0.024604644      0.00307598     0.004242469
19960830     0.080346298     0.103300487     0.006779258
19960930     0.000394284    -0.022146413    -0.022468764
19961031    -0.002517787    -0.025784944    -0.008711644
19961129    -0.008325612    -0.018469127     0.071618681
19961231     0.024150984     0.037178287    -0.041673242
19970131    -0.016954861     0.059934439    -0.037304644
19970228     0.002704978    -0.013798203    -0.035047168
19970331    -0.007689106     0.018269179     0.016797571
19970430         0.01668     0.019633819     0.062034333
19970530     0.027222343     0.044621396     0.012049407
19970630    -0.009755005     -0.00444217     0.008813396
19970731    -0.007683293     0.003745745      0.02967413
19970829    -0.056921287    -0.009104086    -0.011992877
19970930    -0.027802411     0.035031639    -0.022254505
19971031    -0.170918477    -0.109317713    -0.002537659
19971128     0.023458419      0.07253779     0.050539097
19971231    -0.023220232     0.028644454      0.01364372
19980130    -0.043521787    -0.070469286      0.02036179
19980227    -0.120430847     0.001336901     0.077154779
19980331     -0.04784806    -0.007611912    -0.019057027
19980430     0.040129756     0.100094128     0.010359594
19980529     0.006825743     0.013695931    -0.002607431
19980630    -0.055639416    -0.028767595      0.02812121
19980731    -0.043700248     0.003048159     0.023304027
19980831    -0.063688671    -0.004453825    -0.019523392
19980930    -0.282237271     -0.27072028     0.047097161
19981030    -0.044779889     0.063952554      0.00189106
19981130     0.046680218     0.116763883      -0.0130966
19981231    -0.153010845    -0.106059054    -0.002759102
19990129     0.064080205     0.066701998    -0.002940713
19990226    -0.086384224     -0.06245554     0.024047068
19990331    -0.069214439     -0.00275951    -0.031435202
19990430     0.201014879     0.287254783     0.103512548
19990528    -0.134861572    -0.141142757    -0.006097639
19990630     0.061001627     0.068818019    -0.003450915
19990730      0.08139654     0.058059698    -0.009438872
19990831     0.045374931    -0.017477267    -0.002948515
19990930    -0.047583221    -0.068586515     -0.07373219
19991029     0.102308002     0.092740747     0.107359057
19991130     0.002565375    -0.036691859     -0.00871162
