PERMNO        date           nflx        vwretd        ewretd        sprtrn
   89393    20100719       0.004308      0.005000      0.003039      0.005982
   89393    20100720       0.012532      0.012630      0.011590      0.011417
   89393    20100721      -0.006147     -0.012840     -0.009837     -0.012820
   89393    20100722      -0.134476      0.023555      0.023312      0.022513
   89393    20100723       0.039977      0.009625      0.013520      0.008220
   89393    20100726      -0.045590      0.011606      0.013834      0.011200
   89393    20100727       0.012647     -0.002525     -0.002162     -0.001049
   89393    20100728      -0.036315     -0.007460     -0.007818     -0.006922
   89393    20100729      -0.022829     -0.002606      0.000460     -0.004159
   89393    20100730       0.046215      0.001520      0.003373      0.000064
   89393    20100802      -0.006533      0.020543      0.013600      0.022023
   89393    20100803       0.024833     -0.005139     -0.004560     -0.004796
   89393    20100804       0.035629      0.007461      0.007322      0.006051
   89393    20100805       0.022196     -0.002492     -0.004121     -0.001269
   89393    20100806       0.070479     -0.003543     -0.002671     -0.003704
   89393    20100809      -0.012001      0.005841      0.006802      0.005483
   89393    20100810       0.069376     -0.007991     -0.011580     -0.005967
   89393    20100811       0.011679     -0.029199     -0.028496     -0.028179
   89393    20100812       0.052028     -0.004668     -0.003038     -0.005379
   89393    20100813      -0.005938     -0.003872     -0.004209     -0.004024
   89393    20100816       0.037502      0.001450      0.003630      0.000120
   89393    20100817      -0.030972      0.013884      0.012332      0.012192
   89393    20100818      -0.054674      0.002325      0.001914      0.001483
   89393    20100819       0.020207     -0.016700     -0.016574     -0.016935
   89393    20100820       0.013412     -0.003310     -0.001642     -0.003663
   89393    20100823      -0.023546     -0.004849     -0.008724     -0.004040
   89393    20100824      -0.044287     -0.014430     -0.011864     -0.014512
   89393    20100825       0.024489      0.004571      0.005698      0.003289
   89393    20100826       0.012797     -0.006641     -0.004949     -0.007685
   89393    20100827       0.002066      0.018437      0.018576      0.016587
   89393    20100830      -0.023791     -0.014210     -0.013772     -0.014719
   89393    20100831       0.019659      0.000124      0.000360      0.000391
   89393    20100901       0.074849      0.029083      0.024891      0.029505
   89393    20100902       0.022866      0.009531      0.008299      0.009081
   89393    20100903       0.003478      0.012969      0.011735      0.013219
   89393    20100907       0.023902     -0.011856     -0.012413     -0.011471
   89393    20100908       0.029692      0.006321      0.006096      0.006439
   89393    20100909      -0.002192      0.003759      0.002373      0.004832
   89393    20100910       0.003295      0.004483      0.004082      0.004863
   89393    20100913       0.012178      0.012854      0.015681      0.011131
   89393    20100914      -0.008720     -0.000107     -0.000765     -0.000713
   89393    20100915      -0.024071      0.002958      0.001406      0.003541
   89393    20100916      -0.018306     -0.000757     -0.002686     -0.000364
   89393    20100917      -0.000285      0.001131      0.003139      0.000827
